Category,Trigger Phrase,Response,,,
PTO,How many PTO days do I have left?,You can check your remaining PTO days by logging into the HR portal under 'Time Off Balance.' Would you like me to guide you there?,,,
PTO,What's the PTO policy?,Our PTO policy allows [number] days per year. Unused PTO can/cannot be carried over. Would you like more details?,,,
PTO,How do I request PTO?,"To request PTO, log into the HR portal, navigate to the 'Leave Request' section, and submit your dates for approval.",,,
PTO,Can I carry over unused PTO to the next year?,Unused PTO can/cannot be carried over.,,,
Sick Leave,What is the sick leave policy?,"Employees are entitled to [number] sick days per year. For extended leave, a doctor's note may be required.",,,
Sick Leave,Do I need a doctor's note for sick leave?,For a sick leave longer than 2 work days you will need a doctor's note for appoval.,,,
Sick Leave,How do I report sick leave?,"To report sick leave, notify your manager and log it in the HR portal under 'Leave Management.'",,,
Sick Leave,Can I work remotely if I feel slightly unwell?,You can request to work remotely to your manager for approval.,,,
Holidays and Observances,What are the company holidays this year?,You can find the company holiday calendar in the HR portal under 'Holidays and Observances.' Would you like me to send you the link?,,,
Holidays and Observances,Do we get paid holidays?,"Yes, all company-designated holidays are paid. Let me know if you'd like more information.",,,
Holidays and Observances,Are holidays different for contractors and full-time employees?,Holiday benefits may differ based on your employment type. Contractors should review their contract for details.,,,
Benefits and Policies,What benefits does the company offer?,"Our benefits include health insurance, retirement plans, and wellness programs. Would you like to explore each in detail?",,,
Benefits and Policies,Where can I find the employee handbook?,The employee handbook is available in the HR portal under 'Resources.' Do you need help accessing it?,,,
Benefits and Policies,How do I enroll in health insurance?,You can enroll in health insurance through the HR portal during open enrollment or within [number] days of joining. Would you like me to walk you through the process?,,,
Payroll and Taxes,When is payday?,Payday is on the [date] of every month. Let me know if you'd like reminders.,,,
Payroll and Taxes,How do I access my pay stubs?,You can access pay stubs in the HR portal under 'Payroll & Documents.',,,
Payroll and Taxes,How do I update my tax information?,"To update tax information, visit the HR portal and go to 'Tax Forms.' Let me know if you need further help!",,,
Working Hours and Breaks,What are the standard working hours?,"Our standard working hours are from [start time] to [end time], with a [duration] lunch break. Let me know if you'd like more details about flexible schedules.",,,
Working Hours and Breaks,How long is the lunch break?,Lunch breaks are typically [duration] long. Would you like me to guide you to the break policy section in the handbook?,,,
Working Hours and Breaks,Can I take flexible work hours?,"For flexible work hours, you may need prior approval from your manager. Would you like me to share the request process?",,,
Working Hours and Breaks,What if I need to leave early?,You may need approval from your manager to leave early. Would you like assistance with this request?,,,
Performance Reviews and Feedback,When is my next performance review?,Performance reviews are scheduled [monthly/quarterly/annually]. You can check your review date in the HR portal under 'Performance Reviews'.,,,
Performance Reviews and Feedback,How are performance reviews conducted?,"Reviews typically include self-assessments, peer feedback, and manager evaluations. Would you like more details about the process?",,,
Performance Reviews and Feedback,Can I request feedback from my manager?,You can request feedback directly via the HR portal or speak to your manager. Let me know if you'd like step-by-step guidance!,,,
Performance Reviews and Feedback,What happens if I get a low rating in my review?,Low ratings typically trigger improvement plans. Would you like to know more?,,,
Training and Development,What training programs are available?,We offer several training programs through the HR portal under 'Learning & Development.' Would you like me to list available courses?,,,
Training and Development,How can I enroll in training courses?,"To enroll in training, log in to the HR portal and select 'Enroll in Courses.' Let me know if you'd like help navigating this section.",,,
Training and Development,Does the company offer tuition reimbursement?,Tuition reimbursement is available for eligible courses. Please review the policy in the employee handbook or contact HR for more information.,,,
Training and Development,Are there career development programs?,We have career development programs listed in the HR portal. Would you like me to send you the link?,,,
Travel and Expense Reimbursement,How do I submit travel expenses?,"To submit travel expenses, go to the HR portal under 'Expense Management' and upload your receipts.",,,
Travel and Expense Reimbursement,What is the reimbursement policy for meals and lodging?,Reimbursement for meals and lodging follows the company policy. Would you like me to send you a copy of the policy?,,,
Travel and Expense Reimbursement,Where do I upload receipts for expenses?,You can upload receipts under 'Expense Management' in the HR portal.,,,
Travel and Expense Reimbursement,How long does it take to get reimbursed?,It typically takes [number] business days to process reimbursements once all receipts are submitted.,,,
Promotions and Transfers,How can I apply for an internal job opening?,You can apply for internal job openings through the HR portal under 'Careers.' Would you like me to show you how?,,,
Promotions and Transfers,What is the process for getting a promotion?,Promotions are based on performance reviews and manager recommendations. Let me know if you'd like more details about eligibility.,,,
Promotions and Transfers,Are internal transfers allowed?,"Yes, internal transfers are allowed. You can browse internal job postings in the HR portal and submit your application there.",,,
Promotions and Transfers,Where can I see job postings within the company?,Internal job postings are listed under 'Careers' in the HR portal.,,,
IT Support and Equipment,How do I request new equipment?,"To request new equipment, fill out the IT request form in the HR portal under 'IT Support.' Let me know if you'd like help with this.",,,
IT Support and Equipment,Who do I contact for IT support?,"For IT support, contact [email or phone number] or submit a ticket through the IT Helpdesk.",,,
IT Support and Equipment,What is the process for reporting a technical issue?,Report technical issues by submitting a ticket through the IT Helpdesk in the portal.,,,
IT Support and Equipment,Can I work from home and access company systems remotely?,You can access company systems remotely through VPN. Would you like instructions on setting it up?,,,
Offboarding and Resignation,How do I submit my resignation?,"To submit your resignation, log in to the HR portal and navigate to 'Resignation Form.' Let me know if you'd like help.",,,
Offboarding and Resignation,What is the notice period for leaving the company?,The standard notice period is [number] weeks. Please check your contract for specific details.,,,
Offboarding and Resignation,When will I receive my final paycheck?,Your final paycheck will be processed on the next pay cycle after your last working day.,,,
Offboarding and Resignation,How do I return company equipment after resigning?,Please return company equipment to the IT department on your last day.,,,
